Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Oas1c	30.2322577381778	-0.0131962687309533	0.476002418180928	-0.0277231127971653	0.97788298944012	1
Oas1h	0.254886703518014	0.967277036679365	4.56203898076377	0.212027350217298	0.832085696990283	NA
Ocrl	785.324873669313	-0.0316527932512839	0.15252810346453	-0.20752105698767	0.835602949491818	1
Calm1	37761.4032211895	-0.091227117544091	0.163424163592849	-0.558222942914194	0.576692156049917	1
Agpat3	4519.16896225354	-0.0640354355191876	0.145226766883053	-0.440934112171992	0.659260697231396	1
Slc26a3	1.8167135282652	3.00120251803934	2.1601298869393	1.38936206391355	0.164722679948155	1
Sema6b	1450.87849083554	0.0666896029756634	0.246599072187354	0.270437363709933	0.786823798503491	1
Uhrf1	9.24821097364973	0.045754569248239	0.829439741191409	0.0551632228068997	0.956008428249476	1
Dpp9	921.76720961834	-0.00548278146301035	0.186229286545269	-0.029441027051766	0.976512852118697	1
Ramp2	277.547854183577	0.287437342669263	0.220569560862185	1.30315960890387	0.192520276500055	1
Lsr	57.384314121051	-0.131962530698177	0.363693022676624	-0.362840424396897	0.716724092453801	1
Gramd1a	1535.72410351893	0.147849265910264	0.160091608520619	0.923529142323667	0.355731520659491	1
Hpn	33.6301586072782	0.130097433336746	0.470879919441146	0.276285795943793	0.782328564689043	1
Gabrg1	466.774916800382	0.0965290838428203	0.191996108880174	0.50276583419232	0.615128917295982	1
Ckb	48702.7160563568	0.1420823032803	0.180662372619446	0.786452105218322	0.431602667792602	1
Sp1	451.139700735961	-0.0733423523030312	0.202797367424461	-0.36165337466893	0.717611073377725	1
Itgb7	52.5748249927852	-0.295970341952657	0.384569743624558	-0.769614216560943	0.441528769361395	1
Myg1	794.224014710986	0.0314534389777797	0.182721246705719	0.172138924973717	0.863328311780158	1
Rarg	173.716227623446	-0.0436348908232183	0.230449721460657	-0.189346685023734	0.849821107686682	1
Pfdn5	3447.25504458226	-0.00736543075745158	0.180247012019121	-0.0408629839404508	0.967405127321108	1
Efnb2	555.938875465381	-0.177193204537593	0.239337944339494	-0.740347315285073	0.459089277942284	1
Rrp15	117.164089214826	0.172804477354147	0.280430815157003	0.616210730113237	0.537755447491117	1
Rnd2	2880.97323617136	-0.0524075164488191	0.20168458258657	-0.259848897603881	0.794980331248055	1
Srr	486.452611743298	-0.124477334850749	0.296804761891729	-0.419391299712897	0.67493018150225	1
Sync	10.0990137979696	-0.192589528958386	0.806793843726156	-0.238709715568622	0.811330682586611	1
Fndc5	3185.50001407054	0.234272336569696	0.202850853229045	1.15489943887578	0.248131609236864	1
Acp5	5.15648158920645	-0.65140668047353	1.08704162412438	-0.59924722845663	0.549008032763055	1
Cnn1	11.2974067529409	0.0656856756002975	0.811174439698802	0.0809760174700367	0.935461025144559	1
Fbxo9	1937.49735513128	0.0290066060763911	0.151143289798543	0.191914613708975	0.847809090135929	1
Vps50	1003.16185471516	0.0072881734618889	0.16713466858388	0.0436065929566922	0.965217996279097	1
Hars	1498.71474513365	-0.0269164820510472	0.147389707307956	-0.182621178525091	0.855095265734629	1
Zmat2	3141.11995003094	-0.218834949418614	0.142055403445183	-1.54049014758569	0.123440922547868	1
Ube2c	4.09704963388411	-0.107138358521081	1.16979868921841	-0.0915870051048396	0.92702617647646	1
Smg5	1318.08311909466	-0.0910939335517875	0.162130463101883	-0.561855753749029	0.574214301915103	1
Cct3	2517.70829241135	0.042147978567639	0.149183738227256	0.28252394710363	0.777541787035415	1
Glmp	781.292755820514	-0.0775101209249763	0.167143872963122	-0.463732947854319	0.642839088421806	1
Mef2d	2308.41998121433	-0.0886859381295027	0.233135663954603	-0.380404853659678	0.703644912263094	1
Tmem79	14.4271383407428	-0.385848086302413	0.706564502014618	-0.546090392600038	0.585003803517611	1
Snd1	1309.59133194491	-0.04399273435283	0.156438125851366	-0.281214915567502	0.778545565126352	1
Col18a1	714.341186238626	0.312902643561963	0.193556768892742	1.61659365028643	0.105966023447743	1
Slc19a1	254.159228702027	0.221665782442527	0.203464717383765	1.08945563286254	0.275953009767332	1
Kpnb1	2520.37369830708	-0.0663111547325231	0.129038213579528	-0.513887730564828	0.607330486155318	1
Npepps	2690.88138767594	-0.0795665675155179	0.130192853015407	-0.611143896709152	0.541104321274836	1
Tbx21	134.878587516155	0.426089266652593	0.394012333034226	1.08141098876613	0.279514335712488	1
Mrpl10	855.34049269438	0.114852042464586	0.165659279871128	0.693302799299461	0.488119546689397	1
Cyp51	1355.10237850305	0.0578783896955339	0.159783252818312	0.362230638534733	0.717179685732129	1
Tcf25	9822.63878771857	0.0172318342357479	0.140485454907225	0.12265920516204	0.902376969417249	1
Tubb6	131.765160001837	-0.00675645618479631	0.246078061068341	-0.0274565564905028	0.978095589670223	1
Def8	767.214525863545	-0.161065873314382	0.163448088846619	-0.985425246945083	0.324415233401093	1
Meox1	19.1566199960392	-0.0739777438527582	0.559501385833968	-0.132220841137847	0.894809616998755	1
Sost	18.827735048985	-0.15350217086661	0.599992631803615	-0.255840093244434	0.798074313953694	1
Nkx2-1	1.80657432609145	-4.24865047578051	2.28790539509527	-1.85700443947054	0.0633105224738455	1
Pax9	0.260909896864516	0.967277036679366	4.56203898076377	0.212027350217298	0.832085696990283	NA
Irx2	181.757045419145	-0.0491422835078083	0.610082131660701	-0.080550275049096	0.935799612394808	1
Col1a1	127.075305740274	-0.39043948772023	0.275643324445355	-1.4164663283824	0.15663901593835	1
Itga3	698.340259987508	0.105739122594094	0.186435210132919	0.567162836455129	0.570603554598893	1
Sgca	8.03844921269989	0.169172011926036	0.831237815222026	0.203518185563839	0.83873003308275	1
Dlx3	7.07377842504087	0.187962602373236	0.918241157162257	0.204698516187313	0.837807679772608	1
Foxm1	12.5170969918414	1.05094247423223	0.741018142907778	1.41824121891038	0.156120351590372	1
Itfg2	512.824121020571	0.0127106408535664	0.177769853518155	0.0715005418636306	0.942999393318707	1
Nrip2	508.506593524219	-0.0515173988183777	0.198724659495735	-0.259240091034013	0.795449999950942	1
Tulp3	325.410929373517	0.16816408909637	0.198247186434754	0.848254606386134	0.396296192023169	1
Gtf2h4	273.550083592539	0.0851419461207539	0.204618389728901	0.416101144347576	0.677335992618509	1
Tubb5	8208.07510489032	-0.0591930854012751	0.156173480986936	-0.379021361547461	0.704672001045963	1
Ell2	324.910592524423	-0.0270759414652084	0.19255970066164	-0.140610633336959	0.888177547514608	1
Jup	1745.87336471762	0.144828515984013	0.171148232373392	0.846216837741233	0.397431790519912	1
Fkbp10	178.789101461335	0.0888586665440794	0.211017561114104	0.421096074065752	0.673684928247035	1
Klhl10	5.54420352567691	-1.0305399254662	1.00399464106473	-1.02643966742025	0.304684388387379	1
Mnx1	0.622670947923383	0	3.7961769709497	0	1	1
Nom1	441.427044888078	-0.0658318236416937	0.164396965940219	-0.400444273805105	0.688829320310863	1
Ergic1	1691.68932738748	-0.105980414857893	0.153967027688067	-0.688331887997518	0.491243805241871	1
Tnk1	1.5275285527711	0.0536747704506499	2.0662087430664	0.0259774190922223	0.979275349326253	1
Acap1	4.74112753768987	-0.360123981240086	1.10526790808633	-0.325825058888762	0.744556718184339	1
Tcea3	23.5686984812441	-0.728166484511857	0.494632042104885	-1.47213771556969	0.140983692564603	1
Ifrd1	571.820013229543	-0.0229805773288867	0.179766597638329	-0.127835635934553	0.898279048019748	1
Stk38l	518.06724840712	0.146236155715918	0.160575667459154	0.910699348350001	0.362453807554103	1
Brpf1	650.22255098275	0.0413862940415283	0.166314779027312	0.248843153227723	0.803482109341716	1
Akr1b3	537.236921262778	-0.114000692042739	0.171286419512053	-0.665555928879217	0.50569498369795	1
Hoxc6	5.17083719807266	3.36547730499285	2.00224666213464	1.68085050090924	0.0927919565944753	1
Gstt1	288.916781986273	0.0750144722669612	0.206185150303091	0.363820925787771	0.715991735463296	1
Gstt3	101.898351128632	-0.0305283236438801	0.295743415891638	-0.103225708514389	0.917783836454048	1
Ddt	989.250672476549	-0.0743848715356875	0.205314395359189	-0.362297399583475	0.71712980120659	1
Tat	3.41036263195904	1.65462052572702	1.48471134300758	1.11443920295999	0.265090812978245	1
Marveld3	11.8768100988844	-0.502085452533823	0.703036024030344	-0.714167461370589	0.475123634738315	1
